iterations,f=3,f=4,f=5,f=6,f=7,f=8,f=9,f=10
330,3.62,5.15,7.42,9.08,12.6,15.68,18.62,25.43
331,3.65,5.15,7.47,9.08,12.73,15.68,18.68,25.53
332,3.65,5.15,7.47,9.08,12.73,15.68,18.68,25.53
333,3.65,5.15,7.47,9.08,12.73,15.68,18.68,25.71
334,3.65,5.15,7.52,9.14,12.73,15.75,18.68,25.79
335,3.65,5.15,7.57,9.18,12.73,15.75,18.68,26.14
336,3.65,5.15,7.57,9.18,12.8,15.81,18.68,26.37
337,3.65,5.19,7.57,9.18,12.8,15.81,18.68,26.37
338,3.65,5.19,7.57,9.35,12.84,15.89,18.68,26.46
339,3.65,5.19,7.57,9.35,12.84,15.89,18.68,26.57
340,3.65,5.19,7.57,9.35,12.91,15.96,18.77,26.74
341,3.65,5.19,7.57,9.35,12.91,16.02,18.85,26.74
342,3.65,5.19,7.57,9.35,12.96,16.1,18.85,26.74
343,3.65,5.19,7.57,9.35,12.96,16.2,18.85,26.93
344,3.65,5.19,7.57,9.35,12.96,16.27,18.89,26.99
345,3.65,5.19,7.57,9.39,12.96,16.41,18.89,27.21
346,3.65,5.19,7.57,9.39,13.02,16.61,18.89,27.21
347,3.65,5.19,7.57,9.39,13.02,16.64,18.89,27.37
348,3.65,5.19,7.57,9.39,13.02,16.64,18.89,27.37
349,3.65,5.19,7.57,9.39,13.02,16.72,18.97,27.47
350,3.65,5.19,7.57,9.39,13.08,16.72,19.06,27.47
351,3.68,5.19,7.57,9.45,13.18,16.72,19.06,27.62
352,3.68,5.19,7.57,9.45,13.25,16.72,19.06,27.69
353,3.68,5.19,7.57,9.45,13.25,16.8,19.2,27.86
354,3.68,5.19,7.57,9.45,13.25,17.03,19.27,28.0
355,3.68,5.19,7.62,9.51,13.25,17.03,19.44,28.0
356,3.68,5.19,7.62,9.57,13.25,17.22,19.6,28.0
357,3.68,5.19,7.62,9.57,13.25,17.3,19.75,28.17
358,3.68,5.23,7.62,9.57,13.31,17.38,19.84,28.33
359,3.68,5.23,7.66,9.57,13.31,17.43,19.84,28.55
360,3.68,5.23,7.75,9.63,13.31,17.49,19.95,28.63
361,3.68,5.27,7.75,9.63,13.38,17.54,20.02,28.63
362,3.68,5.27,7.78,9.63,13.45,17.59,20.22,28.82
363,3.68,5.27,7.78,9.63,13.45,17.76,20.3,28.82
364,3.68,5.27,7.78,9.63,13.56,17.82,20.39,28.82
365,3.68,5.27,7.78,9.69,13.63,17.82,20.5,28.91
366,3.68,5.27,7.78,9.75,13.63,17.82,20.59,29.22
367,3.68,5.27,7.78,9.75,13.7,17.82,20.81,29.6
368,3.68,5.27,7.81,9.75,13.7,17.87,20.81,29.6
369,3.68,5.27,7.81,9.75,13.7,17.87,20.81,29.6
370,3.68,5.27,7.81,9.75,13.77,17.87,20.81,29.6
371,3.68,5.27,7.81,9.75,13.77,17.87,20.99,29.88
372,3.68,5.31,7.81,9.75,13.77,17.95,21.1,29.88
373,3.68,5.39,7.81,9.75,13.77,17.95,21.16,29.94
374,3.68,5.43,7.81,9.75,13.9,17.95,21.31,30.07
375,3.68,5.43,7.81,9.75,13.94,18.1,21.31,30.07
376,3.71,5.43,7.81,9.79,14.1,18.15,21.31,30.07
377,3.71,5.47,7.81,9.79,14.1,18.15,21.35,30.19
378,3.71,5.47,7.81,9.79,14.1,18.15,21.43,30.39
379,3.71,5.47,7.81,9.79,14.17,18.15,21.52,30.69
380,3.71,5.47,7.81,9.79,14.24,18.39,21.52,30.69
381,3.71,5.47,7.86,9.79,14.24,18.39,21.58,30.99
382,3.71,5.51,7.86,9.79,14.31,18.39,21.58,31.09
383,3.71,5.53,7.86,9.79,14.31,18.39,21.65,31.3
384,3.71,5.57,7.86,9.79,14.31,18.39,21.65,31.65
385,3.71,5.61,7.86,9.84,14.31,18.43,21.83,31.78
386,3.71,5.61,7.86,9.84,14.31,18.43,22.13,31.78
387,3.71,5.61,7.86,9.9,14.31,18.43,22.13,31.88
388,3.74,5.61,7.86,9.9,14.47,18.43,22.13,31.96
389,3.74,5.61,7.86,9.95,14.47,18.43,22.13,31.96
390,3.74,5.61,7.86,10.0,14.47,18.5,22.13,31.96
391,3.74,5.61,7.9,10.06,14.6,18.58,22.18,32.3
392,3.74,5.61,7.9,10.06,14.67,18.66,22.44,32.59
393,3.74,5.61,7.9,10.06,14.74,18.66,22.69,32.81
394,3.74,5.61,7.95,10.06,14.74,18.66,22.78,32.86
395,3.74,5.61,7.95,10.06,14.87,18.66,22.78,33.0
396,3.74,5.61,7.95,10.06,15.0,18.72,22.78,33.1
397,3.74,5.65,7.95,10.11,15.0,18.8,22.86,33.25
398,3.74,5.65,7.95,10.16,15.0,18.8,22.86,33.5
399,3.74,5.65,7.99,10.27,15.06,18.8,22.86,33.5
400,3.74,5.65,7.99,10.27,15.06,18.86,23.16,33.59
401,3.74,5.65,7.99,10.27,15.06,18.86,23.49,33.65
402,3.74,5.65,8.04,10.27,15.13,18.91,23.61,33.65
403,3.74,5.65,8.09,10.27,15.33,18.91,23.7,34.02
404,3.74,5.65,8.09,10.27,15.39,19.03,23.7,34.07
